OpCode,Spp_richness,Date,Location,Designation,3D Points,3D Lengths,Depth (m),Habitat,Relief,Rugosity,Simpson_div,Shannon_div,Notes
1.03,5,20230613,Point_Lobos,MPA,29,16,36.3,Hard,Medium,Low,0.2520809,0.5924029,NA
1.04,9,20230613,Point_Lobos,MPA,9,3,31,Hard,Medium,High,0.8888889,2.197225,NA
10.01,5,20230615,Point_Lobos,REF,60,30,51.3,Hard,High,High,0.2438889,0.5687929,NA
10.03,6,20230615,Point_Lobos,REF,19,7,54.1,Hard,High,High,0.7756233,1.608154,NA
10.05,6,20230615,Point_Lobos,REF,14,8,28.1,NA,NA,NA,0.6326531,1.351784,Pterygophora
11.03,7,20230615,Point_Lobos,REF,35,25,30,Hard,Medium,Low,0.5942857,1.263042,NA
11.05,7,20230615,Point_Lobos,REF,65,32,20.9,Hard,Medium,Low,0.2527811,0.6210815,NA
12.01,10,20230615,Point_Lobos,MPA,25,19,47.2,Mixed-Hard,Medium,Medium,0.8576,2.102502,NA
12.03,4,20230615,Point_Lobos,MPA,6,3,41.8,Soft,Low,Low,0.7222222,1.329661,NA
12.05,10,20230615,Point_Lobos,MPA,41,34,43.6,Hard,High,High,0.6281975,1.496202,NA
13.05,7,20230616,Point_Lobos,MPA,14,11,27.2,Mixed-hard,Low,High,0.755102,1.673118,NA
14.03,2,20230616,Point_Lobos,MPA,6,4,44,Soft,Low,Low,0.4444444,0.6365142,NA
14.05,7,20230616,Point_Lobos,MPA,10,10,44,Soft,Low,Low,0.84,1.886697,NA
15.01,5,20230616,Point_Lobos,REF,70,69,43.6,Hard,High,High,0.2783673,0.5973185,NA
15.05,7,20230616,Point_Lobos,REF,13,8,30.4,Hard,High,High,0.7810651,1.732659,NA
16.03,2,20230620,Point_Buchon,REF,6,5,28.89,Soft,Low,Low,0.2777778,0.4505612,NA
16.04,8,20230620,Point_Buchon,REF,25,18,26.88,Mixed-hard,Low,High,0.6048,1.372239,NA
16.05,2,20230620,Point_Buchon,REF,8,6,14.7,Soft,Low,Low,0.46875,0.6615632,NA
16.06,1,20230620,Point_Buchon,REF,1,1,20.6,Mixed-soft,Low,Low,0,0,NA
17.01,6,20230621,Point_Buchon,MPA,7,4,24.87,Soft,Low,Low,0.8163265,1.747868,NA
17.03,4,20230621,Point_Buchon,MPA,12,11,27.98,Hard,High,High,0.4166667,0.8369882,NA
17.04,2,20230621,Point_Buchon,MPA,2,2,20.66,Hard,Medium,High,0.5,0.6931472,NA
17.05,3,20230621,Point_Buchon,MPA,5,3,28.89,Hard,High,Medium,0.56,0.9502705,NA
17.06,4,20230621,Point_Buchon,MPA,4,4,47.54,Hard,Medium,High,0.75,1.386294,NA
18.01,7,20230622,Point_Buchon,MPA,55,36,38.58,Hard,High,High,0.294876,0.7200671,NA
18.03,6,20230622,Point_Buchon,MPA,13,13,41.69,Mixed-hard,Low,Medium,0.591716,1.285293,NA
18.04,7,20230622,Point_Buchon,MPA,28,19,35.66,Hard,High,High,0.4719388,1.074687,NA
18.06,9,20230622,Point_Buchon,MPA,38,31,20.66,Hard,High,Medium,0.6689751,1.447274,NA
19.01,1,20230622,Point_Buchon,MPA,4,3,38.4,Soft,Low,Low,0,0,NA
19.04,11,20230622,Point_Buchon,MPA,16,15,30.35,Hard,High,Medium,0.8828125,2.273966,NA
19.05,5,20230622,Point_Buchon,MPA,15,13,24.32,Mixed-hard,Medium,High,0.6933333,1.360514,NA
19.06,4,20230622,Point_Buchon,MPA,9,8,28.71,Mixed-hard,Medium,Low,0.617284,1.14906,NA
2.04,1,20230613,Point_Lobos,MPA,7,7,30,Soft,Low,Low,0,0,NA
2.05,8,20230613,Point_Lobos,MPA,15,10,45,Hard,High,High,0.8088889,1.859429,NA
20.01,6,20230622,Point_Buchon,MPA,7,5,17.55,Hard,Medium,High,0.8163265,1.747868,NA
20.03,9,20230622,Point_Buchon,MPA,21,18,24.14,Hard,High,Medium,0.6485261,1.558562,NA
20.04,1,20230622,Point_Buchon,MPA,4,3,43.89,Soft,Low,Low,0,0,NA
20.05,5,20230622,Point_Buchon,MPA,8,5,36.76,Mixed-hard,Medium,Low,0.75,1.494175,NA
20.06,3,20230622,Point_Buchon,MPA,3,3,25.79,Mixed-hard,Medium,Medium,0.6666667,1.098612,NA
21.01,3,20230622,Point_Buchon,REF,4,4,15.42,Hard,Low,Medium,0.625,1.039721,NA
21.03,4,20230622,Point_Buchon,REF,24,21,32,Hard,Low,Low,0.6770833,1.238017,NA
21.04,5,20230622,Point_Buchon,REF,10,8,32.74,Hard,Low,Medium,0.78,1.557113,NA
21.05,7,20230622,Point_Buchon,REF,12,6,45.54,Hard,High,Medium,0.8055556,1.791759,NA
21.06,4,20230622,Point_Buchon,REF,20,18,62.18,Hard,Medium,High,0.585,1.10589,NA
22.01,11,20230622,Point_Buchon,REF,59,36,34.02,Hard,High,High,0.4831945,1.234611,NA
22.03,8,20230622,Point_Buchon,REF,74,58,37.49,Hard,High,High,0.6241782,1.230717,NA
22.04,6,20230622,Point_Buchon,REF,114,102,37.31,Mixed-hard,Medium,Medium,0.2403817,0.5654115,NA
22.05,3,20230622,Point_Buchon,REF,3,3,15.89,Hard,Low,High,0.6666667,1.098612,NA
23.01,8,20230623,Point_Buchon,REF,25,23,25.24,Hard,High,High,0.688,1.565983,NA
23.03,10,20230623,Point_Buchon,REF,41,36,28.9,Hard,High,Medium,0.6829268,1.657507,NA
23.04,3,20230623,Point_Buchon,REF,6,4,33.83,Hard,Medium,Low,0.6111111,1.011404,NA
23.06,12,20230623,Point_Buchon,REF,32,25,49.73,Hard,High,High,0.7128906,1.784645,NA
24.01,5,20230623,Point_Buchon,MPA,8,3,23.77,Hard,Medium,Medium,0.75,1.494175,NA
24.04,4,20230623,Point_Buchon,MPA,4,2,36.39,Mixed-Hard,Low,Medium,0.75,1.386294,NA
24.05,7,20230623,Point_Buchon,MPA,133,25,28.35,Mixed-Hard,High,High,0.38148,0.8120786,NA
25.01,5,20230623,Point_Buchon,MPA,12,7,24.32,Mixed-hard,Low,Medium,0.7638889,1.517106,NA
25.03,9,20230623,Point_Buchon,MPA,23,20,19.02,Mixed-hard,High,Medium,0.6956522,1.6582,NA
25.04,11,20230623,Point_Buchon,MPA,80,71,31.27,Mixed-hard,Medium,Low,0.7553125,1.731438,NA
25.05,2,20230623,Point_Buchon,MPA,4,1,29.99,Soft,Low,Low,0.375,0.5623351,NA
25.06,11,20230623,Point_Buchon,MPA,31,26,37.12,Hard,Medium,High,0.7596254,1.895363,NA
26.01,6,20230623,Point_Buchon,MPA,9,6,54.32,Soft,Low,Low,0.8148148,1.735126,NA
26.03,7,20230623,Point_Buchon,MPA,23,17,56.69,Soft,Low,Low,0.6880907,1.460986,NA
26.04,9,20230623,Point_Buchon,MPA,40,36,46.82,Mixed-hard,High,High,0.7575,1.743601,NA
26.05,11,20230623,Point_Buchon,MPA,24,21,44.26,Hard,High,High,0.8402778,2.10191,NA
26.06,11,20230623,Point_Buchon,MPA,14,9,42.06,Hard,High,Low,0.8877551,2.304619,NA
27.01,2,20230711,Ano_Nuevo,REF,2,2,37,Mixed-soft,Low,Low,0.5,0.6931472,NA
27.03,3,20230711,Ano_Nuevo,REF,5,4,38,Mixed-hard,Low,Medium,0.56,0.9502705,NA
27.04,7,20230711,Ano_Nuevo,REF,11,4,40.5,Hard,Medium,Medium,0.7933884,1.767761,NA
27.05,8,20230711,Ano_Nuevo,REF,21,11,39,Hard,Low,Low,0.7709751,1.737127,NA
27.06,8,20230711,Ano_Nuevo,REF,12,8,39.5,Hard,Medium,Medium,0.8472222,1.979205,NA
28.01,1,20230711,Ano_Nuevo,MPA,1,1,37.5,Hard,Medium,High,0,0,NA
28.03,6,20230711,Ano_Nuevo,MPA,10,7,35.5,Hard,High,High,0.78,1.643418,NA
28.04,4,20230711,Ano_Nuevo,MPA,83,17,33.5,Hard,Medium,Low,0.5217013,0.8048662,NA
28.05,1,20230711,Ano_Nuevo,MPA,1,0,37.5,Hard,Low,Low,0,0,NA
28.06,7,20230711,Ano_Nuevo,MPA,29,8,31.5,Hard,Low,Low,0.4137931,0.9745638,NA
29.01,2,20230711,Ano_Nuevo,REF,9,6,35.5,Hard,Low,Medium,0.4938272,0.6869616,NA
29.04,4,20230711,Ano_Nuevo,REF,5,3,36.5,Hard,Medium,High,0.72,1.332179,NA
3.01,5,20230613,Point_Lobos,REF,15,10,50,Hard,Low,Low,0.5244444,1.080574,NA
3.03,10,20230613,Point_Lobos,REF,37,26,37.7,Mixed-hard,High,High,0.7845142,1.858049,NA
