Drop_ID,Date,Location,Designation,3D Points,3D Lengths,Depth (m),Habitat,Relief,Rugosity,Simpson_div,Shannon_div,Notes
1.03,20230613,Point_Lobos,MPA,29,16,36.3,Hard,Medium,Low,0.2520809,0.5924029,
1.04,20230613,Point_Lobos,MPA,9,3,31,Hard,Medium,High,0.8888889,2.197225,
2.04,20230613,Point_Lobos,MPA,7,7,30,Soft,Low,Low,0,0,
2.05,20230613,Point_Lobos,MPA,15,10,45,Hard,High,High,0.8088889,1.859429,
3.01,20230613,Point_Lobos,REF,15,10,50,Hard,Low,Low,0.5244444,1.080574,
3.03,20230613,Point_Lobos,REF,37,26,37.7,Mixed-hard,High,High,0.7845142,1.858049,
3.04,20230613,Point_Lobos,REF,58,44,41.3,Hard,High,High,0.4934602,1.022784,
3.05,20230613,Point_Lobos,REF,108,46,30.9,Hard,Medium,High,0.6363169,1.362642,
4.01,20230614,Point_Lobos,REF,5,3,41.9,Soft,Low,Low,0,0,
4.03,20230614,Point_Lobos,REF,75,61,38.2,Hard,High,Low,0.5820444,1.191933,
4.04,20230614,Point_Lobos,REF,11,9,27.7,Hard,High,High,0.4958678,0.6890092,
4.05,20230614,Point_Lobos,REF,40,5,30.9,Hard,High,High,0.35125,0.8123187,
5.01,20230614,Point_Lobos,MPA,18,15,26.3,Hard,High,High,0.8395062,2.000085,
5.03,20230614,Point_Lobos,MPA,30,14,32.2,Hard,High,High,0.4911111,1.113961,
6.01,20230614,Point_Lobos,MPA,35,18,54.5,Hard,High,High,0.7722449,1.780584,
6.05,20230614,Point_Lobos,MPA,15,10,45.9,Mixed-Hard,High,High,0.8266667,1.986732,
7.01,20230614,Point_Lobos,MPA,20,18,38.6,Hard,High,High,0.75,1.772875,
7.03,20230614,Point_Lobos,MPA,47,18,36.8,Hard,High,High,0.5504753,1.385938,
8.03,20230614,Point_Lobos,REF,13,6,27.7,Hard,High,High,0.816568,1.804372,
8.05,20230614,Point_Lobos,REF,19,15,35.4,Hard,Medium,High,0.7590028,1.570859,
9.01,20230615,Point_Lobos,REF,8,4,48.6,Hard,High,Medium,0.5625,1.073543,
9.03,20230615,Point_Lobos,REF,25,10,47.7,Hard,High,High,0.72,1.521517,
9.05,20230615,Point_Lobos,REF,27,15,41.8,Hard,Low,High,0.7709191,1.733155,
10.01,20230615,Point_Lobos,REF,60,30,51.3,Hard,High,High,0.2438889,0.5687929,
10.03,20230615,Point_Lobos,REF,19,7,54.1,Hard,High,High,0.7756233,1.608154,
10.05,20230615,Point_Lobos,REF,14,8,28.1,NA,NA,NA,0.6326531,1.351784,Pterygophora
11.03,20230615,Point_Lobos,REF,35,25,30,Hard,Medium,Low,0.5942857,1.263042,
11.05,20230615,Point_Lobos,REF,65,32,20.9,Hard,Medium,Low,0.2527811,0.6210815,
12.01,20230615,Point_Lobos,MPA,25,19,47.2,Mixed-Hard,Medium,Medium,0.8576,2.102502,
12.03,20230615,Point_Lobos,MPA,6,3,41.8,Soft,Low,Low,0.7222222,1.329661,
12.05,20230615,Point_Lobos,MPA,41,34,43.6,Hard,High,High,0.6281975,1.496202,
13.05,20230616,Point_Lobos,MPA,14,11,27.2,Mixed-hard,Low,High,0.755102,1.673118,
14.03,20230616,Point_Lobos,MPA,6,4,44,Soft,Low,Low,0.4444444,0.6365142,
14.05,20230616,Point_Lobos,MPA,10,10,44,Soft,Low,Low,0.84,1.886697,
15.01,20230616,Point_Lobos,REF,70,69,43.6,Hard,High,High,0.2783673,0.5973185,
15.05,20230616,Point_Lobos,REF,13,8,30.4,Hard,High,High,0.7810651,1.732659,
16.03,20230620,Point_Buchon,REF,6,5,28.89,Soft,Low,Low,0.2777778,0.4505612,
16.04,20230620,Point_Buchon,REF,25,18,26.88,Mixed-hard,Low,High,0.6048,1.372239,
16.05,20230620,Point_Buchon,REF,8,6,14.7,Soft,Low,Low,0.46875,0.6615632,
16.06,20230620,Point_Buchon,REF,1,1,20.6,Mixed-soft,Low,Low,0,0,
17.01,20230621,Point_Buchon,MPA,7,4,24.87,Soft,Low,Low,0.8163265,1.747868,
17.03,20230621,Point_Buchon,MPA,12,11,27.98,Hard,High,High,0.4166667,0.8369882,
17.04,20230621,Point_Buchon,MPA,2,2,20.66,Hard,Medium,High,0.5,0.6931472,
17.05,20230621,Point_Buchon,MPA,5,3,28.89,Hard,High,Medium,0.56,0.9502705,
17.06,20230621,Point_Buchon,MPA,4,4,47.54,Hard,Medium,High,0.75,1.386294,
18.01,20230622,Point_Buchon,MPA,55,36,38.58,Hard,High,High,0.294876,0.7200671,
18.03,20230622,Point_Buchon,MPA,13,13,41.69,Mixed-hard,Low,Medium,0.591716,1.285293,
18.04,20230622,Point_Buchon,MPA,28,19,35.66,Hard,High,High,0.4719388,1.074687,
18.06,20230622,Point_Buchon,MPA,38,31,20.66,Hard,High,Medium,0.6689751,1.447274,
19.01,20230622,Point_Buchon,MPA,4,3,38.4,Soft,Low,Low,0,0,
19.04,20230622,Point_Buchon,MPA,16,15,30.35,Hard,High,Medium,0.8828125,2.273966,
