Date,Location,Designation,Filename,Frame,Time (mins),Period time (mins),X (mm),Y (mm),Z (mm),sX (mm),sY (mm),sZ (mm),RMS (mm),Range (mm),Direction (deg),OpCode,TapeReader,Depth,Comment,Family,Genus,Species,Common_name,Code,Number,Stage,Activity,Comment,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,3214,1.7873,0.5778,609.077,55.448,-1818.344,1.718,1.02,4.63,4.014,1918.443,18.575,1.03,AW,36.3,na,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,1,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,4322,2.4035,1.194,-275.053,-190.896,-1774.133,1.273,1.155,5.098,14.064,1805.448,10.789,1.03,AW,36.3,na,Scorpaenidae,Sebastes,sp1,YOY_Rockfish,,1,AD,Passing,ryoy,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,-124.334,-322.863,-1020.322,0.616,0.764,1.641,23.256,1077.384,18.897,1.03,AW,36.3,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,1,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,8.375,-266.655,-974.131,0.563,0.686,1.509,24.004,1010.003,15.494,1.03,AW,36.3,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,2,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,399.126,-163.831,-1112.139,0.871,0.656,1.702,21.139,1192.893,21.271,1.03,AW,36.3,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,3,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,116.716,-216.112,-1271.004,0.787,0.848,2.594,13.482,1294.518,11.094,1.03,AW,36.3,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,4,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,-403.674,-336.925,-2538.415,2.095,1.949,10.272,4.701,2592.3,11.818,1.03,AW,36.3,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,5,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,-377.276,-43.367,-818.33,0.655,0.458,0.924,33.059,902.154,24.915,1.03,AW,36.3,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,6,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,987.037,199.598,-2736.601,3.554,1.656,10.103,8.948,2916.002,20.168,1.03,AW,36.3,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,7,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,959.444,161.287,-2043.705,2.327,1.137,5.06,2.319,2263.466,25.428,1.03,AW,36.3,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,8,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,610.377,1.657,-1204.738,1.034,0.633,1.72,13.105,1350.54,26.869,1.03,AW,36.3,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,9,AD,Passing,,
