Date,Location,Designation,Filename,Frame,Time (mins),Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Comment,Family,Genus,Species,Common_name,Code,Number,Stage,Activity,Comment,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,3214,1.7873,0.5778,370.134,3.226,6.309,2023.328,21.49,19.301,18.291,735.955,88.177,-1882.671,1.03,AW,36.3,,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,233,1,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,4322,2.4035,1.194,94.408,3.918,13.949,1807.457,9.928,29.801,4.115,-239.177,-199.743,-1780.393,1.03,AW,36.3,,Scorpaenidae,Sebastes,sp1,YOY_Rockfish,,1,AD,Passing,RYOY,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,155.24,1.884,26.706,1249.805,15.825,29.053,5.123,-248.094,-233.673,-1202.439,1.03,AW,36.3,,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,24,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,113.852,1.681,23.881,1199.671,11.241,25.867,13.766,-203.25,115.689,-1176.655,1.03,AW,36.3,,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,15,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,159.693,3.21,15.805,1609.924,10.295,31.025,13.119,-284.4,-43.609,-1584.005,1.03,AW,36.3,,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,14,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,180.899,4.197,24.117,1753.478,22.727,56.165,25.784,-627.816,-254.477,-1617.335,1.03,AW,36.3,,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,13,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,286.353,3.551,15.095,2411.861,22.036,4.533,6.106,833.994,-351.116,-2235.676,1.03,AW,36.3,,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,11,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,301.318,4.875,12.512,2834.5,20.569,12.373,25.138,827.858,-553.508,-2653.803,1.03,AW,36.3,,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,10,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,279.439,3.365,0.989,2325.461,28.401,3.102,1.065,1099.251,122.694,-2045.571,1.03,AW,36.3,,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,8,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,319.018,6.774,14.148,2935.729,22.811,21.632,11.632,1129.508,140.078,-2706.121,1.03,AW,36.3,,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,7,AD,Passing,,
